episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
55,2,360,-562.5347,10.43,3.36,3571,0.140365,0.55,230.6,0,,0,0,0.0001
56,0,360,-428.5056,12.3,4.53,4174,0.247048,1.0,205.8,0,,0,0,0.0001
57,1,360,-512.6759,10.34,4.81,3826,0.118199,0.775,221.2,0,,0,0,9.99e-05
58,3,360,-507.4349,10.89,2.24,3532,0.108536,0.325,234.2,0,,0,0,9.99e-05
59,1,360,-173.656,39.13,1.58,647,0.158978,0.775,15.6,1,"EXT_N_N02_in,EXT_E_N03_in,SRC_THD_N08",3,0,9.99e-05
60,4,360,-1521.6728,6.96,9.73,2947,0.112649,0.1,232.6,1,"SRC_HTM_E_N02,SRC_LDT_S_N05",2,0,9.99e-05
61,2,360,-656.0453,10.53,2.31,3176,0.113877,0.55,178.3,1,"EXT_W_N07_in,SRC_LDT_N_N05",2,0,9.99e-05
62,0,360,-913.3255,11.01,8.47,3763,0.190175,1.0,162.9,1,SRC_HN_N05,1,0,9.98e-05
63,1,360,-386.7271,12.73,3.29,3795,0.187725,0.775,134.9,0,,0,0,9.98e-05
64,3,360,-546.506,7.29,4.09,3486,0.140732,0.325,151.6,0,,0,0,9.98e-05
65,4,360,-525.7691,9.23,2.51,3441,0.135105,0.1,143.4,0,,0,0,9.97e-05
66,2,360,-470.8346,13.87,2.67,3672,0.153978,0.55,133.4,0,,0,0,9.97e-05
67,4,360,-149.3525,42.85,0.75,807,0.148396,0.1,16.5,0,,0,0,9.96e-05
68,2,360,-172.4846,28.11,3.04,765,0.09171,0.55,17.3,1,"SRC_LDT_S_N08,EXT_N_N01_in,SRC_HN_N05",3,0,9.96e-05
69,4,360,-177.5118,37.49,2.73,800,0.099671,0.1,17.0,0,,0,0,9.96e-05
70,4,360,-193.921,35.72,2.72,808,0.1274,0.1,17.2,1,"SRC_NH_N05,SRC_HN_N04",2,0,9.95e-05
71,0,360,-1028.2699,9.67,5.5,3400,0.119002,1.0,134.5,1,"SRC_NH_N06,SRC_HTM_E_N02,SRC_HTM_W_N02",3,0,9.95e-05
72,1,360,-420.1291,17.89,3.32,3893,0.087277,0.775,130.5,0,,0,0,9.94e-05
73,3,360,-555.4751,9.08,4.65,3409,0.096495,0.325,147.8,0,,0,0,9.94e-05
74,2,360,-570.1448,8.63,4.49,3504,0.087197,0.55,149.1,0,,0,0,9.93e-05
75,4,360,-561.2336,7.71,3.67,3331,0.111793,0.1,147.3,0,,0,0,9.92e-05
76,0,360,-358.3341,16.13,2.36,4303,0.096652,1.0,125.5,0,,0,0,9.92e-05
77,1,360,-576.6516,11.26,4.72,3324,0.10098,0.775,122.7,1,"SRC_NH_N05,EXT_S_N08_in",2,0,9.91e-05
78,3,360,-556.0028,10.0,5.03,3577,0.136013,0.325,146.4,0,,0,0,9.9e-05
79,0,360,-378.1428,13.04,6.06,4174,0.102681,1.0,122.9,0,,0,0,9.9e-05
80,2,360,-592.9573,10.19,3.64,3633,0.059532,0.55,150.2,0,,0,0,9.89e-05
81,1,360,-387.0172,16.34,2.36,3207,0.100753,0.775,112.9,1,"EXT_W_N01_in,SRC_LDT_N_N05,EXT_N_N03_in",3,0,9.88e-05
82,4,360,-537.1499,11.27,2.51,3309,0.087753,0.1,148.6,0,,0,0,9.88e-05
83,3,360,-388.1904,9.69,2.74,3453,0.107742,0.325,145.2,0,,0,0,9.87e-05
84,0,360,-398.523,14.76,4.31,4021,0.083584,1.0,118.5,1,EXT_W_N04_in,1,0,9.86e-05
85,2,360,-503.6989,9.77,5.91,3634,0.118489,0.55,140.2,0,,0,0,9.85e-05
86,1,360,-409.6256,14.61,4.69,3811,0.107986,0.775,135.1,0,,0,0,9.84e-05
87,4,360,-508.7495,9.76,3.26,3378,0.146751,0.1,153.6,0,,0,0,9.83e-05
88,3,360,-475.0215,11.31,3.91,3394,0.088524,0.325,126.5,1,"SRC_HN_N04,EXT_W_N07_in",2,0,9.83e-05
89,0,360,-450.6315,15.75,4.9,4028,0.112937,1.0,140.0,0,,0,0,9.82e-05
90,1,360,-359.3838,13.32,2.24,3366,0.125832,0.775,114.3,1,EXT_S_N08_in,1,0,9.81e-05
91,0,360,-202.3772,35.35,2.86,748,0.089602,1.0,16.4,1,"SRC_NH_N06,EXT_N_N03_in",2,0,9.8e-05
92,2,360,-534.297,9.04,4.25,3686,0.083018,0.55,140.8,0,,0,0,9.79e-05
93,4,360,-973.0053,9.02,4.94,3010,0.093338,0.1,142.1,1,SRC_LDT_S_N05,1,0,9.78e-05
94,3,360,-1414.6116,7.59,20.34,2807,0.114062,0.325,153.7,1,"EXT_N_N01_in,SRC_LDT_N_N05,SRC_LDT_N_N02",3,0,9.77e-05
95,2,360,-403.3595,10.84,2.77,2941,0.116761,0.55,105.2,1,"EXT_S_N08_in,EXT_E_N06_in,EXT_E_N03_in",3,0,9.76e-05
96,1,360,-449.4365,11.11,3.56,3778,0.103997,0.775,140.4,0,,0,0,9.74e-05
97,0,360,-498.2345,10.56,5.48,3904,0.091932,1.0,149.7,0,,0,0,9.73e-05
98,4,360,-1127.0503,5.51,16.95,3144,0.139008,0.1,147.1,1,"SRC_HTM_E_N03,SRC_NCT_N_N01",2,0,9.72e-05
99,4,360,-153.8367,50.5,0.0,809,0.177878,0.1,16.9,0,,0,0,9.71e-05
100,3,360,-663.1138,8.07,4.04,3432,0.084894,0.325,136.9,0,,0,0,9.7e-05
101,2,360,-405.9172,12.19,3.44,3774,0.128483,0.55,131.1,0,,0,0,9.69e-05
102,0,360,-445.2272,13.02,5.83,3846,0.082797,1.0,111.2,1,EXT_S_N07_in,1,0,9.67e-05
103,1,360,-566.9899,9.37,4.61,3618,0.140465,0.775,135.3,0,,0,0,9.66e-05
104,4,360,-692.9337,9.19,9.47,3291,0.322347,0.1,138.2,0,,0,0,9.65e-05
105,1,360,-401.7929,10.27,3.92,3168,0.076825,0.775,110.1,1,"SRC_THD_N08,EXT_E_N06_in,EXT_N_N02_in",3,0,9.64e-05
106,3,360,-544.4046,10.02,3.21,3443,0.080086,0.325,135.4,0,,0,0,9.62e-05
107,2,360,-458.2961,11.86,2.58,3677,0.159138,0.55,132.7,0,,0,0,9.61e-05
108,0,360,-627.8177,13.76,9.91,3916,0.104208,1.0,123.7,0,,0,0,9.6e-05
109,1,360,-304.062,11.44,4.32,3451,0.127587,0.775,102.1,1,"EXT_S_N07_in,EXT_E_N06_in",2,0,9.58e-05
110,4,360,-698.6615,9.21,4.62,3209,0.120755,0.1,140.6,0,,0,0,9.57e-05
111,2,360,-479.5781,10.88,3.87,3630,0.312924,0.55,127.6,0,,0,0,9.55e-05
112,0,360,-484.6483,12.65,4.32,4073,0.105189,1.0,131.7,0,,0,0,9.54e-05
113,3,360,-1756.2935,7.15,14.79,3114,0.066667,0.325,161.8,1,"SRC_NH_N06,SRC_LDT_S_N08",2,0,9.52e-05
114,1,360,-836.8572,9.42,3.99,3082,0.130903,0.775,111.8,1,"EXT_E_N03_in,EXT_N_N02_in,SRC_LDT_N_N02",3,0,9.51e-05
115,2,360,-514.7948,12.71,3.13,3248,0.11793,0.55,108.1,1,"EXT_N_N01_in,EXT_N_N03_in",2,0,9.49e-05
116,4,360,-502.953,9.73,4.33,3337,0.083641,0.1,137.4,0,,0,0,9.48e-05
117,0,360,-549.0251,13.5,7.0,3777,0.124179,1.0,133.8,0,,0,0,9.46e-05
118,3,360,-517.584,11.02,2.36,3504,0.136919,0.325,129.0,1,SRC_NCT_S_N07,1,0,9.45e-05
119,1,360,-1073.0043,11.99,9.66,3423,0.146109,0.775,142.8,1,SRC_NCT_N_N01,1,0,9.43e-05
120,2,360,-412.7299,10.4,3.29,3711,0.084933,0.55,118.0,0,,0,0,9.41e-05
121,2,360,-1682.7389,10.48,123.73,655,0.079187,0.55,25.9,1,"SRC_NH_N06,SRC_HTM_W_N02,SRC_LDT_N_N02",3,1,9.4e-05
122,4,360,-691.4211,9.1,3.75,3326,0.160542,0.1,136.3,0,,0,0,9.38e-05
123,0,360,-419.2636,14.03,4.88,4105,0.147574,1.0,119.3,0,,0,0,9.36e-05
124,3,360,-464.7183,10.94,3.34,3391,0.136036,0.325,115.4,1,"SRC_THD_N08,EXT_W_N07_in",2,0,9.35e-05
125,1,360,-463.3029,13.43,3.35,3837,0.073414,0.775,122.7,0,,0,0,9.33e-05
126,2,360,-421.8174,10.76,3.96,3618,0.129835,0.55,125.7,0,,0,0,9.31e-05
127,0,360,-497.6275,13.95,3.87,4042,0.116378,1.0,119.2,0,,0,0,9.29e-05
128,4,360,-586.2968,8.66,2.86,3450,0.130125,0.1,133.0,0,,0,0,9.28e-05
129,3,360,-620.1615,9.91,3.35,3510,0.073169,0.325,130.7,0,,0,0,9.26e-05
130,0,360,-302.0505,18.92,3.3,3556,0.067373,1.0,75.7,1,"EXT_W_N01_in,EXT_S_N08_in,SRC_HN_N04",3,0,9.24e-05
131,1,360,-493.3,14.71,4.36,3889,0.067671,0.775,128.1,0,,0,0,9.22e-05
132,2,360,-667.5258,10.95,7.02,3524,0.094994,0.55,134.0,0,,0,0,9.2e-05
133,3,360,-513.3665,12.11,3.82,3188,0.10504,0.325,111.7,1,"EXT_W_N07_in,SRC_NH_N05,EXT_S_N07_in",3,0,9.18e-05
134,4,360,-1305.4205,7.11,9.87,2821,0.134131,0.1,148.5,1,"SRC_HTM_E_N03,SRC_LDT_N_N02,SRC_PH_N06",3,0,9.16e-05
135,0,360,-397.0606,13.25,6.27,3963,0.062745,1.0,121.9,0,,0,0,9.15e-05
136,0,360,-189.217,38.65,2.51,810,0.161854,1.0,17.0,0,,0,0,9.13e-05
137,1,360,-399.1343,14.29,1.95,3848,0.120166,0.775,121.6,0,,0,0,9.11e-05
138,2,360,-539.0718,11.88,3.5,3672,0.063256,0.55,130.6,0,,0,0,9.09e-05
139,4,360,-462.1702,9.69,5.53,3031,0.15976,0.1,126.5,1,"EXT_E_N06_in,SRC_THD_N08",2,0,9.07e-05
140,3,360,-1940.447,9.88,11.45,3023,0.115088,0.325,147.6,1,"SRC_HN_N05,SRC_NCT_S_N07",2,0,9.05e-05
141,0,360,-406.0165,12.17,7.56,4109,0.123009,1.0,116.4,0,,0,0,9.02e-05
142,1,360,-419.5029,10.99,3.42,3777,0.077314,0.775,124.0,0,,0,0,9e-05
143,2,360,-497.541,13.0,2.9,3741,0.122572,0.55,128.1,0,,0,0,8.98e-05
144,4,360,-601.2588,10.38,4.91,2821,0.133642,0.1,111.4,1,"EXT_E_N03_in,EXT_E_N06_in,SRC_NCT_N_N04",3,0,8.96e-05
