episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
416,300240,-159.0,29.55,0.38,5,0.113098,0.05,14.3
417,300960,-148.0,34.24,0.09,2,0.113511,0.05,14.4
418,301680,-255.0,27.23,0.92,4,0.112499,0.05,15.6
419,302400,-232.0,27.85,1.19,2,0.11001,0.05,15.5
420,303120,-124.0,30.72,0.1,4,0.106642,0.05,14.3
421,303840,-289.0,28.58,0.32,2,0.109321,0.05,15.7
422,304560,-16.0,31.99,0.0,2,0.112817,0.05,11.8
423,305280,-219.0,29.92,0.44,1,0.114259,0.05,15.6
424,306000,-226.0,30.99,0.2,1,0.11888,0.05,15.4
425,306720,-11.0,30.41,0.0,1,0.117618,0.05,11.9
426,307440,-154.0,33.76,0.4,0,0.11635,0.05,14.4
427,308160,-147.0,32.89,0.33,0,0.114126,0.05,14.3
428,308880,-140.0,32.41,0.0,1,0.116007,0.05,14.2
429,309600,-245.0,26.32,0.32,0,0.11852,0.05,15.3
430,310320,-289.0,29.9,0.03,2,0.114767,0.05,15.7
431,311040,-221.0,27.15,1.48,1,0.118409,0.05,15.4
432,311760,-251.0,31.02,0.64,1,0.11224,0.05,15.5
433,312480,-263.0,27.32,0.37,2,0.111813,0.05,15.7
434,313200,-172.0,31.12,0.29,0,0.107832,0.05,14.4
435,313920,-218.0,23.39,3.56,3,0.109386,0.05,15.4
436,314640,-249.0,25.24,0.79,1,0.111558,0.05,15.6
437,315360,-246.0,25.54,1.89,1,0.112162,0.05,15.7
438,316080,-235.0,28.89,0.48,1,0.117893,0.05,15.6
439,316800,-258.0,23.86,0.3,3,0.111713,0.05,15.6
440,317520,-208.0,26.12,0.0,0,0.116991,0.05,15.4
441,318240,-254.0,28.1,0.81,1,0.11288,0.05,15.6
442,318960,-163.0,34.45,0.04,1,0.109889,0.05,14.5
443,319680,-263.0,29.45,1.89,2,0.113758,0.05,15.6
444,320400,-143.0,33.31,0.13,0,0.113083,0.05,14.4
445,321120,-19.0,34.09,0.0,1,0.110733,0.05,12.0
446,321840,-293.0,22.85,3.33,2,0.107071,0.05,15.6
447,322560,-10.0,30.45,0.0,1,0.110026,0.05,12.1
448,323280,-28.0,34.94,0.0,1,0.112373,0.05,11.9
449,324000,-254.0,30.94,0.11,2,0.114543,0.05,15.6
450,324720,-150.0,27.97,0.29,2,0.107641,0.05,14.4
451,325440,-258.0,27.1,0.0,3,0.108611,0.05,15.5
452,326160,-262.0,26.79,0.52,3,0.108742,0.05,15.7
453,326880,-132.0,29.88,0.09,1,0.109436,0.05,14.3
454,327600,-249.0,28.78,0.42,1,0.111171,0.05,15.5
455,328320,-135.0,27.4,0.57,3,0.114674,0.05,14.3
456,329040,-228.0,27.51,0.59,0,0.110938,0.05,15.5
457,329760,-157.0,27.29,0.65,1,0.107433,0.05,14.3
458,330480,-267.0,25.24,0.12,3,0.10488,0.05,15.8
459,331200,-278.0,30.66,1.14,1,0.108562,0.05,15.5
460,331920,-241.0,27.65,1.11,0,0.107134,0.05,15.4
461,332640,-218.0,29.08,2.58,2,0.104117,0.05,15.5
462,333360,-177.0,30.55,0.24,3,0.106327,0.05,14.2
463,334080,-133.0,29.79,0.1,0,0.1081,0.05,14.5
464,334800,-146.0,35.13,0.12,1,0.110996,0.05,14.4
465,335520,-244.0,26.46,0.34,1,0.109127,0.05,15.6
466,336240,-125.0,26.64,0.71,3,0.11004,0.05,14.3
467,336960,-239.0,24.39,1.0,1,0.117258,0.05,15.5
468,337680,-227.0,30.75,0.18,2,0.114714,0.05,15.8
469,338400,-160.0,29.83,0.7,2,0.116309,0.05,14.3
470,339120,-261.0,25.07,3.15,1,0.114702,0.05,15.7
471,339840,-14.0,30.5,1.27,0,0.119612,0.05,11.8
472,340560,-255.0,26.12,1.19,5,0.120682,0.05,15.6
473,341280,-221.0,30.06,1.23,1,0.118872,0.05,15.6
474,342000,-246.0,22.22,3.46,3,0.12079,0.05,15.6
475,342720,-246.0,27.29,1.56,2,0.117483,0.05,15.6
476,343440,-13.0,32.84,0.33,0,0.119453,0.05,12.2
477,344160,-260.0,29.25,0.88,0,0.112279,0.05,15.5
478,344880,-256.0,25.75,0.48,3,0.115503,0.05,15.6
479,345600,-247.0,26.65,0.4,2,0.119921,0.05,15.5
480,346320,-147.0,21.49,1.8,0,0.122601,0.05,14.6
481,347040,-254.0,21.94,2.48,4,0.126833,0.05,15.7
482,347760,-231.0,26.61,0.15,4,0.131267,0.05,15.5
483,348480,-285.0,30.02,1.2,4,0.133694,0.05,15.7
484,349200,-236.0,27.87,0.79,3,0.13711,0.05,15.5
485,349920,-152.0,29.82,0.78,3,0.140242,0.05,14.3
486,350640,-235.0,28.29,0.5,3,0.137944,0.05,15.4
487,351360,-238.0,28.99,0.56,1,0.13311,0.05,15.7
488,352080,-152.0,34.07,0.17,0,0.133761,0.05,14.1
489,352800,-149.0,30.86,0.0,0,0.129132,0.05,14.2
490,353520,-235.0,20.05,4.19,1,0.130594,0.05,16.0
491,354240,-129.0,30.67,0.36,0,0.127717,0.05,14.2
492,354960,-202.0,29.53,0.0,3,0.125292,0.05,15.6
493,355680,-239.0,27.74,0.86,5,0.128055,0.05,15.6
494,356400,-265.0,28.67,0.45,0,0.131037,0.05,15.7
495,357120,-146.0,32.43,0.2,1,0.133483,0.05,14.4
496,357840,-14.0,28.06,0.0,2,0.135206,0.05,12.0
497,358560,-262.0,26.76,0.6,1,0.139183,0.05,15.6
498,359280,-233.0,29.03,1.3,0,0.140351,0.05,15.5
499,360000,-144.0,31.15,0.25,0,0.137206,0.05,14.3
