episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
95,69120,-240.0,30.58,0.36,1,0.082393,0.05,15.3
96,69840,-217.0,32.07,0.32,3,0.081151,0.05,15.2
97,70560,-16.0,27.48,1.1,0,0.078454,0.05,11.7
98,71280,-271.0,28.33,0.96,4,0.075097,0.05,15.5
99,72000,-13.0,31.73,0.44,0,0.0779,0.05,11.7
100,72720,-270.0,26.83,0.79,3,0.076705,0.05,15.5
101,73440,-271.0,27.91,1.53,0,0.07887,0.05,15.5
102,74160,-267.0,28.18,0.89,0,0.076571,0.05,15.5
103,74880,-235.0,27.49,0.42,3,0.080481,0.05,15.5
104,75600,-246.0,27.7,0.32,4,0.078825,0.05,15.2
105,76320,-257.0,27.28,2.59,3,0.079495,0.05,15.6
106,77040,-252.0,26.65,2.07,0,0.084493,0.05,15.6
107,77760,-254.0,29.78,0.69,3,0.073389,0.05,15.4
108,78480,-252.0,31.18,0.4,1,0.075533,0.05,15.5
109,79200,-258.0,31.36,0.39,1,0.082741,0.05,15.4
110,79920,-273.0,29.77,1.26,1,0.08343,0.05,15.6
111,80640,-297.0,29.76,2.07,2,0.086266,0.05,16.0
112,81360,-252.0,28.27,0.21,3,0.084577,0.05,15.2
113,82080,-152.0,25.64,0.8,0,0.094279,0.05,15.0
114,82800,-291.0,28.27,0.58,2,0.090334,0.05,17.0
115,83520,-248.0,28.08,0.35,3,0.09517,0.05,16.4
116,84240,-165.0,36.44,0.0,0,0.095973,0.05,15.0
117,84960,-239.0,32.63,0.0,0,0.10397,0.05,16.2
118,85680,-224.0,26.83,0.77,3,0.107686,0.05,15.9
119,86400,-212.0,29.01,0.59,2,0.100209,0.05,16.7
120,87120,-278.0,26.9,2.03,0,0.106897,0.05,15.7
121,87840,-144.0,35.41,0.04,1,0.101931,0.05,14.9
122,88560,-262.0,27.46,0.97,1,0.099449,0.05,16.1
123,89280,-269.0,24.37,2.07,1,0.095047,0.05,17.2
124,90000,-232.0,25.34,2.54,1,0.109564,0.05,15.4
125,90720,-137.0,33.91,0.0,0,0.106185,0.05,14.2
126,91440,-211.0,25.87,2.26,2,0.11102,0.05,15.6
127,92160,-236.0,32.37,0.52,1,0.098464,0.05,15.4
128,92880,-141.0,30.76,0.33,0,0.09859,0.05,14.3
129,93600,-273.0,34.33,0.38,4,0.104985,0.05,15.7
130,94320,-249.0,32.47,0.17,7,0.105368,0.05,15.5
131,95040,-304.0,27.99,0.26,2,0.109332,0.05,15.4
132,95760,-23.0,32.04,1.2,1,0.112517,0.05,11.7
133,96480,-291.0,29.71,0.0,2,0.121882,0.05,15.5
134,97200,-138.0,28.13,0.8,3,0.114639,0.05,14.1
135,97920,-251.0,35.4,0.0,1,0.119608,0.05,15.3
136,98640,-241.0,28.33,1.22,0,0.126176,0.05,15.6
137,99360,-12.0,37.87,0.0,0,0.134013,0.05,11.6
138,100080,-264.0,29.56,0.12,5,0.125561,0.05,15.5
139,100800,-238.0,26.57,1.29,2,0.124554,0.05,15.5
140,101520,-8.0,32.78,0.0,0,0.128636,0.05,11.8
141,102240,-277.0,30.37,0.48,4,0.126765,0.05,15.3
142,102960,-157.0,34.91,0.0,2,0.12271,0.05,14.2
143,103680,-141.0,34.24,0.0,1,0.125419,0.05,14.1
144,104400,-256.0,30.9,0.46,7,0.118489,0.05,15.3
145,105120,-268.0,29.29,0.44,2,0.122595,0.05,15.5
146,105840,-19.0,31.0,0.75,1,0.127091,0.05,11.6
147,106560,-253.0,27.77,0.93,2,0.127626,0.05,15.2
148,107280,-146.0,34.72,0.0,0,0.12334,0.05,14.3
149,108000,-330.0,19.76,5.14,4,0.116824,0.05,15.2
150,108720,-281.0,27.81,1.08,2,0.119575,0.05,15.4
151,109440,-151.0,34.01,0.08,1,0.119307,0.05,14.1
152,110160,-128.0,28.14,0.29,2,0.124253,0.05,14.1
153,110880,-292.0,28.32,0.68,3,0.117021,0.05,15.4
154,111600,-244.0,27.97,3.1,2,0.124222,0.05,15.4
