# finetune_from: checkpoints/final/gat_marl_mydinh_best.pt
# topology: uet
episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
55,3,360,-798.0215,11.14,4.82,2488,0.024691,0.1,149.1,0,,0,0,9.1e-05
56,0,360,-835.1984,15.77,6.14,2784,0.067729,1.0,148.8,0,,0,0,9.05e-05
57,1,360,-899.7482,10.85,8.65,2724,0.015565,0.7,149.0,0,,0,0,8.99e-05
58,2,360,-892.0638,10.53,6.62,2211,0.028528,0.4,157.1,0,,0,0,8.94e-05
59,3,360,-867.5196,10.75,8.62,2439,0.020478,0.1,147.6,0,,0,0,8.89e-05
60,0,360,-1019.2397,15.32,6.17,2997,0.061046,1.0,148.0,1,"SRC_R1_BC_N02,SRC_V4N_N04",2,0,8.83e-05
61,0,360,-342.9487,46.19,1.26,1244,0.019837,1.0,30.1,0,,0,0,8.77e-05
62,0,360,-346.7257,40.59,1.58,1244,0.042082,1.0,30.5,1,SRC_V4S_N14,1,0,8.72e-05
63,1,360,-786.9517,11.68,5.4,2495,0.009735,0.7,149.4,0,,0,0,8.66e-05
64,2,360,-830.0563,12.41,5.73,2242,0.017191,0.4,153.3,0,,0,0,8.6e-05
65,0,360,-418.299,38.35,1.82,1179,0.022935,1.0,30.7,1,"SRC_V2_N12,EXT_S_N11_in,SRC_R2_CD_N14",3,0,8.54e-05
66,3,360,-765.6369,9.44,5.24,2014,0.021193,0.1,156.5,0,,0,0,8.47e-05
67,0,360,-912.795,13.04,5.25,2783,0.020773,1.0,134.9,1,"SRC_RM_AB_N08,SRC_R2_DE_N14,SRC_R2_CD_N14",3,0,8.41e-05
68,1,360,-864.2302,13.06,6.34,2280,0.017237,0.7,158.0,0,,0,0,8.35e-05
69,2,360,-893.3952,10.33,6.67,2563,0.016825,0.4,148.2,0,,0,0,8.28e-05
70,0,360,-344.3068,41.81,2.82,1059,0.02936,1.0,25.8,1,EXT_W_N01_in,1,0,8.21e-05
71,3,360,-796.8844,9.83,4.75,2442,0.018138,0.1,148.2,0,,0,0,8.15e-05
72,3,360,-294.7386,23.99,4.48,1184,0.014151,0.1,34.2,0,,0,0,8.08e-05
73,3,360,-294.0943,23.29,3.27,1175,0.01514,0.1,35.4,0,,0,0,8.01e-05
74,1,360,-809.9498,11.62,5.67,2356,0.022698,0.7,153.2,1,EXT_S_N10_in,1,0,7.94e-05
75,2,360,-806.4007,10.9,5.62,2112,0.013089,0.4,155.7,0,,0,0,7.87e-05
76,0,360,-846.1262,14.43,6.48,2599,0.017878,1.0,151.8,1,SRC_R1_CD_N04,1,0,7.8e-05
77,1,360,-305.7348,43.39,1.01,1247,0.01201,0.7,30.7,0,,0,0,7.72e-05
78,3,360,-755.8345,8.41,4.44,2026,0.018886,0.1,154.1,0,,0,0,7.65e-05
79,2,360,-824.3324,10.28,5.99,2119,0.019298,0.4,156.9,0,,0,0,7.58e-05
80,0,360,-1230.1536,10.65,10.25,2590,0.017497,1.0,153.6,1,"SRC_V4S_N14,SRC_R2_AB_N11,SRC_V4N_N04",3,0,7.5e-05
81,1,360,-769.4002,12.21,6.26,2368,0.024433,0.7,150.5,0,,0,0,7.42e-05
82,1,360,-270.2175,37.06,2.48,1244,0.017409,0.7,29.9,0,,0,0,7.35e-05
83,3,360,-1874.0611,10.68,7.13,2027,0.016165,0.1,174.1,1,"SRC_V5N_N09,SRC_V3S_N13,SRC_V6_N10",3,0,7.27e-05
84,2,360,-850.2893,13.5,4.34,2623,0.032461,0.4,147.7,0,,0,0,7.19e-05
85,0,360,-893.4689,13.32,4.67,2571,0.016066,1.0,157.0,0,,0,0,7.11e-05
