1,4,360,-303.9601,40.44,2.5,1249,0.010309,0.6,23.3,0,,0,0,2e-06
2,0,360,-571.658,18.92,3.32,4507,0.003634,1.0,122.7,0,,0,0,4e-06
3,2,360,-614.7356,15.9,5.54,4553,0.00309,0.8,129.4,0,,0,0,6e-06
4,1,360,-639.1088,16.9,3.8,4431,0.003124,0.9,132.4,0,,0,0,8e-06
5,3,360,-561.3526,14.78,5.31,4167,0.002917,0.7,130.1,1,SRC_RM_BC_N09,1,0,1e-05
6,5,360,-541.8287,14.59,3.49,4312,0.002593,0.5,128.8,0,,0,0,1.2e-05
7,7,360,-457.2373,15.08,3.8,3850,0.002134,0.3,132.4,0,,0,0,1.4e-05
8,6,360,-758.6805,14.21,4.47,3803,0.002144,0.4,141.5,1,"SRC_R1_CD_N03,EXT_N_N06_in",2,0,1.6e-05
9,9,360,-506.6429,12.66,4.06,3694,0.001891,0.1,139.1,0,,0,0,1.8e-05
10,8,360,-618.6361,13.14,3.27,4109,0.001925,0.2,143.6,0,,0,0,2e-05
11,4,360,-602.801,13.42,3.93,3930,0.001946,0.6,137.5,0,,0,0,2.2e-05
12,6,360,-287.3757,42.32,0.55,1247,0.002193,0.4,26.2,1,"SRC_R2_AB_N11,SRC_RM_AB_N08",2,0,2.4e-05
13,0,360,-577.3467,14.59,3.56,4449,0.004582,1.0,134.5,0,,0,0,2.6e-05
14,2,360,-625.8819,17.42,5.35,4122,0.003081,0.8,130.4,0,,0,0,2.8e-05
15,1,360,-560.4353,17.76,3.79,4601,0.002313,0.9,130.0,0,,0,0,3e-05
16,3,360,-692.7609,13.54,5.25,4228,0.002352,0.7,134.9,0,,0,0,3.2e-05
17,5,360,-996.5212,13.14,3.22,3545,0.002243,0.5,135.3,1,"SRC_V5S_N15,SRC_V2_N02,SRC_R2_DE_N14",3,0,3.4e-05
18,0,360,-308.3661,39.9,1.12,1249,0.004045,1.0,23.4,0,,0,0,3.6e-05
19,7,360,-619.8482,10.69,4.14,3640,0.003807,0.3,136.4,0,,0,0,3.8e-05
20,4,360,-566.3201,16.91,4.02,4089,0.0025,0.6,128.3,0,,0,0,4e-05
21,8,360,-633.6775,14.18,3.92,3781,0.003532,0.2,140.2,1,SRC_RM_BC_N08,1,0,4.2e-05
22,9,360,-581.9148,13.86,2.46,3652,0.023959,0.1,143.4,0,,0,0,4.4e-05
23,7,360,-306.7676,41.27,0.71,1244,0.002997,0.3,23.4,0,,0,0,4.6e-05
24,9,360,-282.465,40.16,2.13,1248,0.002703,0.1,24.0,0,,0,0,4.8e-05
25,6,360,-638.9549,10.58,7.4,3635,0.024593,0.4,147.9,1,SRC_RM_CD_N10,1,0,5e-05
26,2,360,-512.7215,18.5,2.24,4459,0.026078,0.8,132.5,0,,0,0,5.2e-05
27,3,360,-568.8741,15.4,4.13,4104,0.03288,0.7,132.7,1,SRC_V1_N01,1,0,5.4e-05
28,1,360,-606.7854,17.37,3.94,4236,0.003863,0.9,139.9,0,,0,0,5.6e-05
29,0,360,-554.2169,16.85,3.53,4782,0.00267,1.0,131.9,0,,0,0,5.8e-05
30,5,360,-678.5988,13.98,5.08,4033,0.002928,0.5,146.8,0,,0,0,6e-05
31,4,360,-590.4233,14.74,3.72,3965,0.002929,0.6,133.0,0,,0,0,6.2e-05
32,8,360,-651.1944,14.18,4.44,3839,0.002812,0.2,144.0,0,,0,0,6.4e-05
33,7,360,-810.2602,11.95,5.49,3761,0.002915,0.3,151.0,0,,0,0,6.6e-05
34,6,360,-578.7793,14.78,4.59,3994,0.002364,0.4,133.5,0,,0,0,6.8e-05
35,9,360,-741.6642,11.36,5.05,3739,0.00341,0.1,145.3,0,,0,0,7e-05
36,2,360,-527.0685,15.57,5.43,4202,0.002775,0.8,125.2,1,EXT_E_N10_in,1,0,7.2e-05
37,0,360,-517.8645,18.67,3.35,4505,0.002747,1.0,122.7,0,,0,0,7.4e-05
38,2,360,-298.858,39.32,1.11,1231,0.002697,0.8,25.8,1,SRC_R1_AB_N02,1,0,7.6e-05
39,1,360,-635.8063,17.81,4.65,4210,0.028301,0.9,143.6,0,,0,0,7.8e-05
40,3,360,-632.0902,12.89,5.05,4016,0.003395,0.7,147.1,0,,0,0,8e-05
41,5,360,-666.3617,12.59,6.17,3841,0.003523,0.5,145.4,0,,0,0,8.2e-05
42,8,360,-561.3183,14.4,4.44,4230,0.003141,0.2,123.3,0,,0,0,8.4e-05
43,4,360,-548.0793,14.64,3.97,4174,0.00445,0.6,138.4,0,,0,0,8.6e-05
44,5,360,-312.5719,44.52,0.96,1253,0.00276,0.5,25.2,0,,0,0,8.8e-05
45,8,360,-282.77,42.46,1.62,1251,0.003784,0.2,24.3,0,,0,0,9e-05
46,6,360,-687.0028,15.42,2.83,3973,0.00412,0.4,133.2,0,,0,0,9.2e-05
47,9,360,-568.6898,16.77,3.67,3943,0.003301,0.1,141.6,0,,0,0,9.4e-05
48,7,360,-2423.8834,9.61,41.74,3621,0.005394,0.3,157.1,1,"SRC_R2_BC_N12,SRC_R1_BC_N03,SRC_R2_BC_N13",3,0,9.6e-05
49,2,360,-577.1013,17.19,4.15,4255,0.003537,0.8,121.5,0,,0,0,9.8e-05
50,0,360,-589.9268,15.97,4.6,4443,0.003082,1.0,139.0,0,,0,0,0.0001
51,1,360,-563.7204,18.51,6.19,4399,0.009319,0.9,132.4,0,,0,0,0.0001
52,3,360,-747.8492,14.36,5.1,3875,0.008976,0.7,135.8,1,"EXT_S_N11_in,SRC_V1_N11,SRC_R2_CD_N13",3,0,0.0001
53,2,360,-311.5191,39.88,1.11,1247,0.005858,0.8,24.4,0,,0,0,0.0001
54,0,360,-287.5573,43.98,0.72,1251,0.004497,1.0,25.9,0,,0,0,0.0001
55,4,360,-562.4051,17.87,4.65,4290,0.003181,0.6,132.4,0,,0,0,0.0001
56,5,360,-563.107,16.92,6.47,4030,0.00761,0.5,122.6,1,"EXT_E_N10_in,SRC_R1_AB_N02,SRC_R1_BC_N03",3,0,0.0001
57,8,360,-535.0706,12.95,3.38,3927,0.005644,0.2,134.9,0,,0,0,9.99e-05
58,6,360,-579.7166,14.94,4.12,4018,0.016163,0.4,148.1,0,,0,0,9.99e-05
59,7,360,-505.2182,13.78,4.21,4064,0.003515,0.3,139.2,0,,0,0,9.99e-05
60,9,360,-516.1432,13.33,5.43,4091,0.003129,0.1,143.7,0,,0,0,9.99e-05
61,1,360,-601.2768,15.64,4.87,4415,0.004226,0.9,143.0,0,,0,0,9.99e-05
62,3,360,-628.2638,13.26,4.55,4136,0.003088,0.7,137.1,0,,0,0,9.98e-05
63,2,360,-892.171,11.63,8.22,3881,0.003033,0.8,144.4,1,"SRC_R2_AB_N12,SRC_V5N_N05,SRC_R2_BC_N13",3,0,9.98e-05
64,0,360,-633.2447,16.4,4.83,4438,0.007865,1.0,138.3,0,,0,0,9.98e-05
65,4,360,-569.7696,15.08,3.48,4014,0.048737,0.6,141.1,0,,0,0,9.97e-05
66,5,360,-653.5972,12.8,4.18,3842,0.004807,0.5,139.9,0,,0,0,9.97e-05
67,8,360,-672.4523,14.04,3.33,3700,0.009207,0.2,154.1,0,,0,0,9.96e-05
68,6,360,-689.6101,12.68,5.26,3893,0.007624,0.4,139.1,1,"EXT_W_N11_in,SRC_V5N_N09",2,0,9.96e-05
69,9,360,-589.851,13.62,4.01,3801,0.003245,0.1,127.1,0,,0,0,9.96e-05
70,7,360,-635.4253,14.93,4.93,3884,0.034016,0.3,145.0,0,,0,0,9.95e-05
71,3,360,-542.2029,16.77,3.45,4180,0.003955,0.7,129.6,0,,0,0,9.95e-05
72,1,360,-579.912,14.16,6.22,4507,0.029646,0.9,141.8,0,,0,0,9.94e-05
73,0,360,-613.1685,14.98,6.36,4414,0.002665,1.0,132.5,0,,0,0,9.94e-05
