episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
53,4,360,-487.547,11.9,2.56,3379,0.017884,0.4857,85.0,1,EXT_W_N07_in,1,0,0.0001
54,3,360,-571.2609,7.94,4.44,2774,0.017708,0.6143,75.1,1,"SRC_LDT_S_N05,EXT_N_N02_in,EXT_N_N01_in",3,0,0.0001
55,0,360,-377.2818,17.47,2.41,4234,0.017782,1.0,77.8,0,,0,0,0.0001
56,5,360,-421.8687,10.9,2.75,3675,0.01685,0.3571,80.2,0,,0,0,0.0001
57,6,360,-869.2991,7.51,6.44,3144,0.016637,0.2286,87.7,1,"EXT_S_N07_in,SRC_HN_N04,SRC_PH_N03",3,0,9.99e-05
58,2,360,-496.1393,13.75,2.93,3826,0.013996,0.7429,87.7,0,,0,0,9.99e-05
59,7,360,-505.7487,9.88,12.96,3303,0.024933,0.1,88.2,0,,0,0,9.99e-05
60,1,360,-400.7807,12.78,3.78,3955,0.019556,0.8714,78.8,0,,0,0,9.99e-05
61,0,360,-433.9069,12.57,3.81,4133,0.014882,1.0,74.3,0,,0,0,9.99e-05
62,4,360,-573.7944,9.3,6.94,3260,0.017242,0.4857,88.7,1,SRC_LDT_N_N05,1,0,9.98e-05
63,5,360,-380.5929,11.53,2.75,3624,0.012124,0.3571,77.8,0,,0,0,9.98e-05
64,3,360,-508.9126,11.68,4.59,3800,0.017288,0.6143,88.2,0,,0,0,9.98e-05
65,6,360,-515.996,10.63,3.77,3520,0.089688,0.2286,97.4,0,,0,0,9.97e-05
66,6,360,-181.2579,27.06,4.3,811,0.06356,0.2286,10.4,0,,0,0,9.97e-05
67,2,360,-992.8733,8.92,14.14,3415,0.026025,0.7429,97.4,1,"SRC_LDT_N_N05,SRC_HN_N04",2,0,9.97e-05
68,3,360,-404.9483,14.25,5.14,2876,0.015743,0.6143,75.4,1,"EXT_S_N08_in,EXT_N_N02_in,SRC_NCT_N_N04",3,0,9.96e-05
69,7,360,-1323.4782,7.28,11.06,2932,0.064255,0.1,105.6,1,"SRC_LDT_N_N05,SRC_THD_N08",2,0,9.96e-05
70,0,360,-431.0332,14.17,3.02,4051,0.074547,1.0,86.1,0,,0,0,9.95e-05
71,1,360,-468.1862,9.58,7.1,3827,0.016929,0.8714,93.6,0,,0,0,9.95e-05
72,4,360,-491.3487,10.64,2.63,3377,0.016752,0.4857,87.4,1,EXT_S_N08_in,1,0,9.94e-05
73,7,360,-182.6179,36.44,3.38,810,0.027098,0.1,11.1,0,,0,0,9.94e-05
74,0,360,-200.8961,25.93,4.77,752,0.017872,1.0,11.3,1,"SRC_NH_N05,SRC_NCT_S_N04,EXT_N_N02_in",3,0,9.93e-05
75,5,360,-1607.5531,6.81,15.69,3151,0.017646,0.3571,101.6,1,"SRC_HTM_W_N02,SRC_THD_N07",2,0,9.93e-05
76,6,360,-1012.2506,10.41,12.6,3102,0.026346,0.2286,85.7,1,"SRC_LDT_S_N08,EXT_W_N01_in,SRC_LDT_N_N05",3,0,9.92e-05
77,3,360,-484.5327,12.8,5.41,3733,0.01562,0.6143,80.0,0,,0,0,9.91e-05
78,1,360,-417.8323,11.07,5.31,4131,0.03019,0.8714,75.3,0,,0,0,9.91e-05
79,2,360,-606.5524,9.48,3.82,3775,0.024095,0.7429,91.4,0,,0,0,9.9e-05
80,0,360,-514.0473,19.15,5.64,3587,0.019449,1.0,76.1,1,"EXT_S_N08_in,SRC_NCT_S_N07,SRC_HN_N04",3,0,9.89e-05
81,4,360,-734.484,10.85,4.45,3456,0.01082,0.4857,92.2,0,,0,0,9.89e-05
82,7,360,-1194.9534,5.9,14.62,3434,0.017558,0.1,108.5,1,SRC_THD_N07,1,0,9.88e-05
83,5,360,-579.3189,11.38,2.38,3441,0.018,0.3571,104.1,0,,0,0,9.87e-05
84,5,360,-172.1481,28.06,8.15,808,0.016664,0.3571,12.7,0,,0,0,9.86e-05
85,2,360,-512.5156,15.73,7.16,3202,0.03201,0.7429,71.2,1,"EXT_N_N02_in,SRC_LDT_S_N05,EXT_W_N01_in",3,0,9.85e-05
86,3,360,-806.907,13.3,4.38,3338,0.021723,0.6143,83.1,1,"SRC_HTM_W_N02,EXT_W_N01_in,SRC_HTM_E_N02",3,0,9.85e-05
