episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
54,2,360,-1360.2742,14.77,5.25,3631,0.03696,0.55,166.9,1,"EXT_S_N15_in,SRC_R2_BC_N12,SRC_R2_DE_N15",3,0,0.0001
55,1,360,-572.9606,15.53,6.79,4353,0.032485,0.775,169.1,0,,0,0,0.0001
56,3,360,-807.1081,30.68,9.9,1214,0.104918,0.325,31.6,1,"SRC_V3N_N07,SRC_RM_AB_N07",2,0,0.0001
57,3,360,-306.6063,39.22,2.09,1231,0.031071,0.325,30.1,1,"SRC_R2_DE_N14,SRC_V6_N10",2,0,9.99e-05
58,0,360,-660.3334,16.76,3.65,4451,0.036836,1.0,173.8,0,,0,0,9.99e-05
59,0,360,-287.054,44.7,0.63,1249,0.039711,1.0,28.6,0,,0,0,9.99e-05
60,4,360,-565.5822,14.09,5.22,3747,0.031723,0.1,173.0,0,,0,0,9.99e-05
61,2,360,-594.6857,16.99,3.53,3891,0.039491,0.55,170.6,0,,0,0,9.99e-05
62,1,360,-753.073,14.24,5.88,4000,0.047924,0.775,170.9,1,SRC_R1_EF_N06,1,0,9.98e-05
63,3,360,-673.3386,14.05,4.32,3743,0.040251,0.325,167.7,0,,0,0,9.98e-05
64,0,360,-922.8973,17.67,4.45,4048,0.045406,1.0,134.6,1,"EXT_N_N06_in,EXT_E_N10_in,SRC_V6_N06",3,0,9.98e-05
65,2,360,-535.3541,14.23,5.77,4106,0.05353,0.55,147.3,0,,0,0,9.97e-05
66,4,360,-610.0197,12.81,3.85,3729,0.04075,0.1,159.3,0,,0,0,9.97e-05
67,1,360,-853.7465,14.26,8.65,3971,0.033357,0.775,148.6,1,SRC_R2_DE_N15,1,0,9.96e-05
68,3,360,-579.4584,14.72,6.42,3845,0.028368,0.325,153.8,0,,0,0,9.96e-05
69,0,360,-608.1368,16.16,7.06,4101,0.041464,1.0,134.3,1,"EXT_W_N01_in,SRC_V5N_N09,EXT_S_N10_in",3,0,9.96e-05
70,2,360,-523.3874,16.52,3.6,4023,0.031959,0.55,148.9,0,,0,0,9.95e-05
71,4,360,-495.4941,14.72,3.02,3828,0.040732,0.1,148.7,0,,0,0,9.95e-05
72,1,360,-588.0514,16.29,3.44,4193,0.037437,0.775,148.3,0,,0,0,9.94e-05
73,3,360,-522.4837,15.71,4.31,3640,0.028622,0.325,136.8,1,"EXT_S_N13_in,EXT_N_N05_in,SRC_V5N_N05",3,0,9.94e-05
74,0,360,-795.2403,15.19,7.06,4015,0.032137,1.0,157.2,1,"SRC_R1_DE_N05,SRC_V4N_N08,EXT_S_N15_in",3,0,9.93e-05
75,2,360,-586.9881,14.84,4.4,3927,0.042108,0.55,155.5,0,,0,0,9.92e-05
76,4,360,-572.0553,13.37,5.34,3663,0.029587,0.1,149.4,1,"SRC_V4S_N08,SRC_V1_N01,SRC_R1_CD_N04",3,0,9.92e-05
77,1,360,-739.8713,14.08,3.4,3983,0.032909,0.775,165.9,0,,0,0,9.91e-05
78,3,360,-543.3088,12.91,3.89,3822,0.053924,0.325,159.8,0,,0,0,9.9e-05
79,0,360,-1216.6108,13.53,5.3,4015,0.037406,1.0,172.5,1,"SRC_V5S_N15,SRC_R1_BC_N03",2,0,9.9e-05
80,2,360,-672.0234,13.51,4.73,3985,0.049376,0.55,161.2,0,,0,0,9.89e-05
81,4,360,-594.9469,14.79,3.38,3765,0.037146,0.1,157.1,0,,0,0,9.88e-05
82,1,360,-533.9269,16.45,2.93,4352,0.030863,0.775,149.4,0,,0,0,9.88e-05
83,3,360,-596.5054,12.14,4.1,3866,0.033568,0.325,156.5,0,,0,0,9.87e-05
84,0,360,-632.8764,15.75,4.27,4370,0.029395,1.0,202.1,0,,0,0,9.86e-05
